Detailed Statistics Departures  
Origin Airport: San Francisco, CA: San Francisco International (SFO)
Airline: United Airlines Inc. (UA)
Month(s): December
Day(s): 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes)
"UA","12/20/2022","2011","N66831","IAH","00:29","00:39","224","227","10"
"UA","12/20/2022","2027","N438UA","PHX","10:32","10:28","124","103","-4"
"UA","12/20/2022","2032","N2645U","IAD","08:30","08:32","295","287","2"
"UA","12/20/2022","2034","N76519","LAX","22:35","22:34","84","77","-1"
"UA","12/20/2022","2037","N33103","TPA","09:10","09:12","308","296","2"
"UA","12/20/2022","2041","N27515","SAN","12:58","13:03","99","79","5"
"UA","12/20/2022","2047","N484UA","SNA","18:53","19:57","92","76","64"
"UA","12/20/2022","2059","N12005","EWR","22:40","22:48","311","306","8"
"UA","12/20/2022","2097","N798UA","EWR","21:00","21:04","312","294","4"
"UA","12/20/2022","2102","N37513","TPA","22:50","22:54","306","300","4"
"UA","12/20/2022","2169","N409UA","PHX","19:10","20:52","123","109","102"
"UA","12/20/2022","2187","N34137","BOS","08:25","08:23","337","311","-2"
"UA","12/20/2022","2247","N33103","IAD","22:35","22:48","307","291","13"
"UA","12/20/2022","2296","N69829","IAH","07:47","07:42","233","219","-5"
"UA","12/20/2022","2319","N34131","EWR","10:45","11:05","334","312","20"
"UA","12/20/2022","2327","N38257","AUS","23:59","00:14","209","208","15"
"UA","12/20/2022","2329","N39416","LAS","08:47","08:49","102","84","2"
"UA","12/20/2022","2337","N37540","BOS","12:55","12:51","336","309","-4"
"UA","12/20/2022","2341","N58101","BOS","10:45","11:15","339","319","30"
"UA","12/20/2022","2356","N459UA","AUS","16:35","16:30","212","196","-5"
"UA","12/20/2022","2366","N66831","LAS","22:35","22:49","98","96","14"
"UA","12/20/2022","2368","N78540","DEN","12:55","12:50","157","141","-5"
"UA","12/20/2022","2377","N37523","DEN","06:34","06:27","159","158","-7"
"UA","12/20/2022","2380","N788UA","HNL","10:55","11:54","338","360","59"
"UA","12/20/2022","2384","N12238","CLE","23:01","23:01","283","278","0"
"UA","12/20/2022","2396","N47517","BNA","11:06","11:07","261","266","1"
"UA","12/20/2022","2412","N469UA","DFW","10:30","11:09","217","200","39"
"UA","12/20/2022","2419","N229UA","EWR","12:00","12:21","319","371","21"
"UA","12/20/2022","2423","N2142U","EWR","23:50","00:04","311","300","14"
"UA","12/20/2022","2426","N75861","DEN","05:00","05:05","154","149","5"
"UA","12/20/2022","2447","N807UA","EUG","10:40","10:33","103","98","-7"
"UA","12/20/2022","2451","N27511","IAH","09:08","09:04","235","219","-4"
"UA","12/20/2022","2458","N24211","LAS","16:50","17:01","99","82","11"
"UA","12/20/2022","2464","N68805","LAX","10:35","10:47","92","92","12"
